transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date
TXN00000001,6719,735,14.89,CLP,approved,2025-09-18 19:37:40+00:00,debit_card,Visa Debit,CL,00,Transaction approved,3.46,0.52,14.37,desktop,136.74.34.128,Opera/9.55.(Windows NT 6.2; gl-ES) Presto/2.9.180 Version/11.00,1,1491,True,1,retail,False,2025-09-20
TXN00000002,4754,465,14.29,MXN,approved,2025-10-21 17:51:25+00:00,credit_card,Diners Club,MX,00,Transaction approved,2.97,0.42,13.87,mobile,220.78.227.194,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_11_8) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/33.0.890.0 Safari/533.0",1,2275,True,1,other,False,2025-10-22
TXN00000003,2912,586,78.59,USD,approved,2025-11-09 11:41:06+00:00,ewallet,Rappi Pay,MX,00,Transaction approved,3.01,2.37,76.22,mobile,50.126.234.119,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/3.0),1,2010,,1,other,True,2025-11-11
TXN00000005,8637,677,30.44,CLP,approved,2025-09-18 09:26:11+00:00,ewallet,MercadoPago,CL,00,Transaction approved,3.52,1.07,29.37,api,167.123.147.182,API/1.0,1,1920,,1,entertainment,False,2025-09-19
TXN00000006,1380,918,24.15,MXN,approved,2025-10-21 18:17:13+00:00,credit_card,American Express,MX,00,Transaction approved,3.28,0.79,23.36,mobile,109.130.8.212,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Win 9x 4.90; Trident/4.0),1,2105,True,1,retail,False,2025-10-23
TXN00000007,4426,940,22.24,COP,approved,2025-10-19 07:49:39+00:00,debit_card,Mastercard Debit,CO,00,Transaction approved,2.6,0.58,21.66,mobile,94.194.182.151,Mozilla/5.0 (X11; Linux i686; rv:1.9.5.20) Gecko/3483-02-23 20:43:11 Firefox/3.6.12,1,602,True,1,services,False,2025-10-21
TXN00000008,8087,354,20.61,BRL,approved,2025-10-08 05:23:19+00:00,debit_card,Visa Debit,BR,00,Transaction approved,3.25,0.67,19.94,desktop,155.123.163.229,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_4) AppleWebKit/536.0 (KHTML, like Gecko) Chrome/19.0.845.0 Safari/536.0",1,2856,True,1,utilities,False,2025-10-09
TXN00000009,2684,589,94.06,USD,approved,2025-10-07 15:38:38+00:00,credit_card,American Express,MX,00,Transaction approved,3.12,2.93,91.13,mobile,35.200.226.159,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; nds-DE) AppleWebKit/531.11.2 (KHTML, like Gecko) Version/3.0.5 Mobile/8B115 Safari/6531.11.2",1,1304,True,12,tech,True,2025-10-09
TXN00000010,4502,636,20.96,COP,approved,2025-10-29 14:03:28+00:00,bank_transfer,PIX,CO,00,Transaction approved,1.88,0.39,20.57,mobile,99.183.206.112,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_4 rv:3.0; ckb-IQ) AppleWebKit/531.29.4 (KHTML, like Gecko) Version/4.1 Safari/531.29.4",1,2226,,1,food_beverage,False,2025-10-30
TXN00000011,3172,412,66.55,BRL,approved,2025-09-12 19:20:31+00:00,credit_card,American Express,BR,00,Transaction approved,3.18,2.12,64.43,mobile,199.240.11.28,Opera/8.64.(Windows NT 6.1; ky-KG) Presto/2.9.186 Version/12.00,1,2885,False,1,services,False,2025-09-13
TXN00000012,6975,945,65.29,PEN,approved,2025-09-27 21:05:24+00:00,credit_card,Visa,PE,00,Transaction approved,2.94,1.92,63.37,mobile,187.23.243.32,Mozilla/5.0 (Windows NT 5.0; fi-FI; rv:1.9.1.20) Gecko/5325-08-04 00:38:27 Firefox/3.6.19,1,2210,False,6,food_beverage,False,2025-09-28
TXN00000013,8830,260,25.35,BRL,declined,2025-11-06 21:18:08+00:00,bank_transfer,PSE,BR,54,Insufficient funds,0.0,0.0,0.0,desktop,222.140.184.106,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/3.1),3,2618,,1,utilities,False,
TXN00000015,2737,996,27.37,MXN,approved,2025-10-14 03:32:37+00:00,credit_card,Diners Club,MX,00,Transaction approved,3.43,0.94,26.43,mobile,145.219.23.221,"Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/534.14.7 (KHTML, like Gecko) Version/5.0 Safari/534.14.7",1,2634,True,1,tech,False,2025-10-16
TXN00000016,685,247,67.09,COP,approved,2025-12-03 08:42:25+00:00,ewallet,Clip,CO,00,Transaction approved,4.3,2.88,64.21,tablet,75.164.99.50,"Mozilla/5.0 (Windows NT 4.0) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/17.0.882.0 Safari/535.0",1,1399,,1,services,False,2025-12-05
