transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date
TXN00000001,6719,735,14.89,CLP,approved,2025-09-18 19:15:10+00:00,debit_card,Visa Debit,CL,00,Transaction approved,3.46,0.52,14.37,desktop,169.28.115.129,"Mozilla/5.0 (Windows NT 11.0) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/13.0.870.0 Safari/532.2",1,1491,True,1,retail,False,2025-09-20
TXN00000002,4754,465,14.29,MXN,approved,2025-10-21 17:28:55+00:00,credit_card,Diners Club,MX,00,Transaction approved,2.97,0.42,13.87,mobile,221.16.7.37,"Mozilla/5.0 (iPad; CPU iPad OS 6_1_6 like Mac OS X) AppleWebKit/533.1 (KHTML, like Gecko) CriOS/39.0.852.0 Mobile/02E289 Safari/533.1",1,2275,True,1,other,False,2025-10-22
TXN00000003,2912,586,78.59,USD,approved,2025-11-09 11:18:36+00:00,ewallet,Rappi Pay,MX,00,Transaction approved,3.01,2.37,76.22,mobile,57.222.210.116,Mozilla/5.0 (Android 7.1.1; Mobile; rv:31.0) Gecko/31.0 Firefox/31.0,1,2010,,1,other,True,2025-11-11
TXN00000005,8637,677,30.44,CLP,approved,2025-09-18 09:03:41+00:00,ewallet,MercadoPago,CL,00,Transaction approved,3.52,1.07,29.37,api,188.255.187.17,API/1.0,1,1920,,1,entertainment,False,2025-09-19
TXN00000006,1380,918,24.15,MXN,approved,2025-10-21 17:54:43+00:00,credit_card,American Express,MX,00,Transaction approved,3.28,0.79,23.36,mobile,184.227.225.184,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/36.0.809.0 Safari/532.2",1,2105,True,1,retail,False,2025-10-23
TXN00000007,4426,940,22.24,COP,approved,2025-10-19 07:27:09+00:00,debit_card,Mastercard Debit,CO,00,Transaction approved,2.6,0.58,21.66,mobile,101.172.65.117,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/5.1),1,602,True,1,services,False,2025-10-21
TXN00000008,8087,354,20.61,BRL,approved,2025-10-08 05:00:49+00:00,debit_card,Visa Debit,BR,00,Transaction approved,3.25,0.67,19.94,desktop,85.49.154.17,Opera/9.41.(X11; Linux x86_64; mag-IN) Presto/2.9.174 Version/11.00,1,2856,True,1,utilities,False,2025-10-09
TXN00000009,2684,589,94.06,USD,approved,2025-10-07 15:16:08+00:00,credit_card,American Express,MX,00,Transaction approved,3.12,2.93,91.13,mobile,138.86.3.85,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/5.0),1,1304,True,12,tech,True,2025-10-09
TXN00000010,4502,636,20.96,COP,approved,2025-10-29 13:40:58+00:00,bank_transfer,PIX,CO,00,Transaction approved,1.88,0.39,20.57,mobile,198.73.107.53,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_8_1 rv:2.0; de-LI) AppleWebKit/532.7.3 (KHTML, like Gecko) Version/4.1 Safari/532.7.3",1,2226,,1,food_beverage,False,2025-10-30
TXN00000011,3172,412,66.55,BRL,approved,2025-09-12 18:58:01+00:00,credit_card,American Express,BR,00,Transaction approved,3.18,2.12,64.43,mobile,100.164.139.255,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/4.0),1,2885,False,1,services,False,2025-09-13
TXN00000012,6975,945,65.29,PEN,approved,2025-09-27 20:42:54+00:00,credit_card,Visa,PE,00,Transaction approved,2.94,1.92,63.37,mobile,179.64.209.15,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 10.0; Trident/3.1),1,2210,False,6,food_beverage,False,2025-09-28
TXN00000013,8830,260,25.35,BRL,declined,2025-11-06 20:55:38+00:00,bank_transfer,PSE,BR,54,Insufficient funds,0.0,0.0,0.0,desktop,210.174.69.127,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/34.0.846.0 Safari/534.2",3,2618,,1,utilities,False,
TXN00000015,2737,996,27.37,MXN,approved,2025-10-14 03:10:07+00:00,credit_card,Diners Club,MX,00,Transaction approved,3.43,0.94,26.43,mobile,163.32.43.122,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_8; rv:1.9.4.20) Gecko/9661-07-15 16:40:10 Firefox/3.8,1,2634,True,1,tech,False,2025-10-16
TXN00000016,685,247,67.09,COP,approved,2025-12-03 08:19:55+00:00,ewallet,Clip,CO,00,Transaction approved,4.3,2.88,64.21,tablet,20.206.112.77,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.5.20) Gecko/4754-02-27 10:57:22 Firefox/3.8,1,1399,,1,services,False,2025-12-05
TXN00000017,475,694,126.95,BRL,approved,2025-12-04 04:18:51+00:00,credit_card,Visa,BR,00,Transaction approved,2.89,3.67,123.28,desktop,29.141.88.173,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/3.1),1,1183,True,1,entertainment,False,2025-12-06
