transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date
TXN00000001,6719,735,14.89,CLP,approved,2025-09-18 19:16:10+00:00,debit_card,Visa Debit,CL,00,Transaction approved,3.46,0.52,14.37,desktop,15.42.127.14,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.0),1,1491,True,1,retail,False,2025-09-20
TXN00000002,4754,465,14.29,MXN,approved,2025-10-21 17:29:55+00:00,credit_card,Diners Club,MX,00,Transaction approved,2.97,0.42,13.87,mobile,18.163.34.91,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_3_5 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/15.7q2329.0 Mobile/44C968 Safari/533.2",1,2275,True,1,other,False,2025-10-22
TXN00000003,2912,586,78.59,USD,approved,2025-11-09 11:19:36+00:00,ewallet,Rappi Pay,MX,00,Transaction approved,3.01,2.37,76.22,mobile,164.241.235.155,"Mozilla/5.0 (Linux; Android 2.3.2) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/38.0.825.0 Safari/531.0",1,2010,,1,other,True,2025-11-11
TXN00000005,8637,677,30.44,CLP,approved,2025-09-18 09:04:41+00:00,ewallet,MercadoPago,CL,00,Transaction approved,3.52,1.07,29.37,api,86.211.37.121,API/1.0,1,1920,,1,entertainment,False,2025-09-19
TXN00000006,1380,918,24.15,MXN,approved,2025-10-21 17:55:43+00:00,credit_card,American Express,MX,00,Transaction approved,3.28,0.79,23.36,mobile,195.189.147.230,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_2 rv:6.0; fur-IT) AppleWebKit/535.50.4 (KHTML, like Gecko) Version/5.0 Safari/535.50.4",1,2105,True,1,retail,False,2025-10-23
TXN00000007,4426,940,22.24,COP,approved,2025-10-19 07:28:09+00:00,debit_card,Mastercard Debit,CO,00,Transaction approved,2.6,0.58,21.66,mobile,143.50.29.92,Mozilla/5.0 (X11; Linux i686; rv:1.9.6.20) Gecko/2212-09-02 21:11:55 Firefox/3.8,1,602,True,1,services,False,2025-10-21
TXN00000008,8087,354,20.61,BRL,approved,2025-10-08 05:01:49+00:00,debit_card,Visa Debit,BR,00,Transaction approved,3.25,0.67,19.94,desktop,41.154.180.50,"Mozilla/5.0 (iPad; CPU iPad OS 17_2 like Mac OS X) AppleWebKit/533.2 (KHTML, like Gecko) FxiOS/9.4f2088.0 Mobile/52Z389 Safari/533.2",1,2856,True,1,utilities,False,2025-10-09
TXN00000009,2684,589,94.06,USD,approved,2025-10-07 15:17:08+00:00,credit_card,American Express,MX,00,Transaction approved,3.12,2.93,91.13,mobile,136.111.210.27,Opera/9.48.(X11; Linux x86_64; pt-PT) Presto/2.9.183 Version/12.00,1,1304,True,12,tech,True,2025-10-09
TXN00000010,4502,636,20.96,COP,approved,2025-10-29 13:41:58+00:00,bank_transfer,PIX,CO,00,Transaction approved,1.88,0.39,20.57,mobile,133.230.73.107,Opera/8.55.(Windows 98; Win 9x 4.90; cs-CZ) Presto/2.9.170 Version/12.00,1,2226,,1,food_beverage,False,2025-10-30
TXN00000011,3172,412,66.55,BRL,approved,2025-09-12 18:59:01+00:00,credit_card,American Express,BR,00,Transaction approved,3.18,2.12,64.43,mobile,33.219.245.171,"Mozilla/5.0 (Windows; U; Windows NT 11.0) AppleWebKit/531.20.1 (KHTML, like Gecko) Version/5.0.5 Safari/531.20.1",1,2885,False,1,services,False,2025-09-13
