transaction_id,user_id,merchant_id,amount,currency,status,timestamp,payment_method,payment_provider,country,response_code,response_message,fee_percentage,transaction_fee,net_amount,device_type,ip_address,user_agent,attempt_number,processing_time_ms,three_ds_verified,installments,category,is_international,settlement_date
TXN00000001,6719,735,14.89,CLP,approved,2025-09-18 19:38:40+00:00,debit_card,Visa Debit,CL,00,Transaction approved,3.46,0.52,14.37,desktop,157.4.122.65,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/4.0),1,1491,True,1,retail,False,2025-09-20
TXN00000002,4754,465,14.29,MXN,approved,2025-10-21 17:52:25+00:00,credit_card,Diners Club,MX,00,Transaction approved,2.97,0.42,13.87,mobile,177.36.43.46,Opera/9.64.(X11; Linux i686; sq-AL) Presto/2.9.183 Version/11.00,1,2275,True,1,other,False,2025-10-22
TXN00000003,2912,586,78.59,USD,approved,2025-11-09 11:42:06+00:00,ewallet,Rappi Pay,MX,00,Transaction approved,3.01,2.37,76.22,mobile,175.61.76.16,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_4) AppleWebKit/534.2 (KHTML, like Gecko) Chrome/56.0.872.0 Safari/534.2",1,2010,,1,other,True,2025-11-11
TXN00000005,8637,677,30.44,CLP,approved,2025-09-18 09:27:11+00:00,ewallet,MercadoPago,CL,00,Transaction approved,3.52,1.07,29.37,api,87.40.129.129,API/1.0,1,1920,,1,entertainment,False,2025-09-19
TXN00000006,1380,918,24.15,MXN,approved,2025-10-21 18:18:13+00:00,credit_card,American Express,MX,00,Transaction approved,3.28,0.79,23.36,mobile,10.99.174.232,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 10.0; Trident/4.0),1,2105,True,1,retail,False,2025-10-23
TXN00000007,4426,940,22.24,COP,approved,2025-10-19 07:50:39+00:00,debit_card,Mastercard Debit,CO,00,Transaction approved,2.6,0.58,21.66,mobile,102.153.19.239,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.01; Trident/3.0),1,602,True,1,services,False,2025-10-21
TXN00000008,8087,354,20.61,BRL,approved,2025-10-08 05:24:19+00:00,debit_card,Visa Debit,BR,00,Transaction approved,3.25,0.67,19.94,desktop,149.165.225.131,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_6_5) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/33.0.835.0 Safari/531.1",1,2856,True,1,utilities,False,2025-10-09
TXN00000009,2684,589,94.06,USD,approved,2025-10-07 15:39:38+00:00,credit_card,American Express,MX,00,Transaction approved,3.12,2.93,91.13,mobile,188.149.159.87,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/61.0.811.0 Safari/534.0",1,1304,True,12,tech,True,2025-10-09
TXN00000010,4502,636,20.96,COP,approved,2025-10-29 14:04:28+00:00,bank_transfer,PIX,CO,00,Transaction approved,1.88,0.39,20.57,mobile,42.47.178.87,Opera/9.43.(X11; Linux x86_64; uz-UZ) Presto/2.9.162 Version/12.00,1,2226,,1,food_beverage,False,2025-10-30
TXN00000011,3172,412,66.55,BRL,approved,2025-09-12 19:21:31+00:00,credit_card,American Express,BR,00,Transaction approved,3.18,2.12,64.43,mobile,208.149.215.189,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/62.0.834.0 Safari/531.1",1,2885,False,1,services,False,2025-09-13
TXN00000012,6975,945,65.29,PEN,approved,2025-09-27 21:06:24+00:00,credit_card,Visa,PE,00,Transaction approved,2.94,1.92,63.37,mobile,181.107.107.221,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 6.1; Trident/4.1),1,2210,False,6,food_beverage,False,2025-09-28
TXN00000013,8830,260,25.35,BRL,declined,2025-11-06 21:19:08+00:00,bank_transfer,PSE,BR,54,Insufficient funds,0.0,0.0,0.0,desktop,151.84.107.59,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/535.19.6 (KHTML, like Gecko) Version/5.0.2 Safari/535.19.6",3,2618,,1,utilities,False,
TXN00000015,2737,996,27.37,MXN,approved,2025-10-14 03:33:37+00:00,credit_card,Diners Club,MX,00,Transaction approved,3.43,0.94,26.43,mobile,160.21.145.235,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_8_2 rv:2.0; ht-HT) AppleWebKit/533.30.7 (KHTML, like Gecko) Version/4.0 Safari/533.30.7",1,2634,True,1,tech,False,2025-10-16
TXN00000016,685,247,67.09,COP,approved,2025-12-03 08:43:25+00:00,ewallet,Clip,CO,00,Transaction approved,4.3,2.88,64.21,tablet,222.115.122.73,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/4.0),1,1399,,1,services,False,2025-12-05
TXN00000017,475,694,126.95,BRL,approved,2025-12-04 04:42:21+00:00,credit_card,Visa,BR,00,Transaction approved,2.89,3.67,123.28,desktop,158.87.130.92,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/531.16.7 (KHTML, like Gecko) Version/5.1 Safari/531.16.7",1,1183,True,1,entertainment,False,2025-12-06
TXN00000018,5641,124,61.49,COP,approved,2025-11-19 10:08:37+00:00,credit_card,American Express,CO,00,Transaction approved,3.24,1.99,59.5,mobile,222.124.73.227,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_6_9) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/46.0.872.0 Safari/534.0",1,1372,True,6,tech,False,2025-11-21
TXN00000019,3821,602,140.6,COP,approved,2025-11-26 19:34:15+00:00,credit_card,Diners Club,CO,00,Transaction approved,2.87,4.04,136.56,mobile,70.218.89.93,Opera/8.92.(X11; Linux i686; cs-CZ) Presto/2.9.188 Version/10.00,1,2482,True,12,travel,False,2025-11-28
TXN00000020,9312,939,107.48,CLP,approved,2025-10-02 04:33:50+00:00,bank_transfer,TEF,CL,00,Transaction approved,1.98,2.13,105.35,desktop,119.168.237.145,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/533.2 (KHTML, like Gecko) Chrome/42.0.836.0 Safari/533.2",1,1472,,1,retail,False,2025-10-03
TXN00000021,2120,926,7.16,BRL,approved,2025-11-20 20:09:31+00:00,bank_transfer,TEF,BR,00,Transaction approved,1.03,0.07,7.09,mobile,6.210.107.253,"Mozilla/5.0 (iPhone; CPU iPhone OS 5_1_1 like Mac OS X) AppleWebKit/535.1 (KHTML, like Gecko) FxiOS/15.9u0255.0 Mobile/25D250 Safari/535.1",1,2379,,1,utilities,False,2025-11-21
TXN00000022,7051,428,73.21,CLP,approved,2025-10-11 04:00:41+00:00,credit_card,Mastercard,CL,00,Transaction approved,2.97,2.17,71.04,mobile,203.170.106.10,Mozilla/5.0 (Android 3.0; Mobile; rv:28.0) Gecko/28.0 Firefox/28.0,1,2816,True,1,other,False,2025-10-12
TXN00000023,4360,267,108.13,COP,approved,2025-12-01 11:11:58+00:00,credit_card,Mastercard,CO,00,Transaction approved,3.08,3.33,104.8,desktop,135.117.84.142,Mozilla/5.0 (compatible; MSIE 6.0; Windows CE; Trident/3.0),1,828,True,1,travel,False,2025-12-03
TXN00000024,1391,961,75.71,USD,approved,2025-10-23 13:04:32+00:00,ewallet,Clip,CL,00,Transaction approved,3.67,2.78,72.93,mobile,52.226.44.20,Mozilla/5.0 (compatible; MSIE 7.0; Windows CE; Trident/3.0),1,906,,1,services,True,2025-10-25
TXN00000025,2047,285,139.19,USD,approved,2025-09-26 15:07:42+00:00,bank_transfer,SPEI,MX,00,Transaction approved,1.0,1.39,137.8,mobile,10.98.234.109,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 5.0; Trident/5.0),1,2641,,1,services,True,2025-09-28
TXN00000026,2477,605,18.45,MXN,approved,2025-09-17 03:42:19+00:00,credit_card,Mastercard,MX,00,Transaction approved,3.1,0.57,17.88,desktop,151.188.84.166,Opera/8.12.(Windows NT 5.01; en-NZ) Presto/2.9.176 Version/12.00,1,1163,True,1,services,False,2025-09-19
TXN00000027,1102,262,3.36,BRL,approved,2025-10-12 22:26:42+00:00,credit_card,American Express,BR,00,Transaction approved,3.07,0.1,3.26,mobile,7.88.181.24,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_1 like Mac OS X; eu-FR) AppleWebKit/534.25.6 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6534.25.6",1,1446,True,1,utilities,False,2025-10-14
TXN00000028,5050,719,17.43,BRL,approved,2025-11-11 08:33:58+00:00,bank_transfer,SPEI,BR,00,Transaction approved,1.13,0.2,17.23,mobile,23.37.182.88,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 4.0; Trident/3.0),1,2979,,1,entertainment,False,2025-11-13
TXN00000029,819,147,58.98,CLP,approved,2025-10-01 08:27:09+00:00,ewallet,Rappi Pay,CL,00,Transaction approved,4.22,2.49,56.49,tablet,52.41.139.133,"Mozilla/5.0 (Linux; Android 3.0) AppleWebKit/531.2 (KHTML, like Gecko) Chrome/23.0.879.0 Safari/531.2",1,1135,,1,utilities,False,2025-10-02
TXN00000030,1157,619,57.01,MXN,approved,2025-12-02 09:08:22+00:00,debit_card,Visa Debit,MX,00,Transaction approved,3.33,1.9,55.11,mobile,66.67.200.3,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_8_6 rv:5.0; cv-RU) AppleWebKit/534.25.5 (KHTML, like Gecko) Version/5.1 Safari/534.25.5",1,2337,True,1,retail,False,2025-12-03
TXN00000031,6377,123,6.59,USD,approved,2025-11-25 00:03:50+00:00,ewallet,PayPal,BR,00,Transaction approved,4.29,0.28,6.31,mobile,,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.0; Trident/5.1),1,405,,1,travel,True,2025-11-27
TXN00000032,8917,850,15.62,MXN,approved,2025-09-18 18:34:11+00:00,credit_card,Visa,MX,00,Transaction approved,3.0,0.47,15.15,tablet,153.88.214.79,Opera/8.16.(X11; Linux i686; ka-GE) Presto/2.9.167 Version/12.00,1,1666,True,6,tech,False,2025-09-20
TXN00000033,1523,574,42.21,BRL,declined,2025-11-08 19:32:20+00:00,ewallet,Clip,BR,54,Security violation,0.0,0.0,0.0,desktop,185.154.166.90,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_4 rv:3.0; cmn-TW) AppleWebKit/533.33.6 (KHTML, like Gecko) Version/4.0.2 Safari/533.33.6",1,428,,1,utilities,False,
TXN00000034,657,841,7.35,BRL,approved,2025-10-07 05:30:58+00:00,debit_card,Visa Debit,BR,00,Transaction approved,3.37,0.25,7.1,mobile,145.42.121.12,Mozilla/5.0 (X11; Linux i686; rv:1.9.7.20) Gecko/2581-06-07 04:56:28 Firefox/14.0,1,1258,False,1,other,False,2025-10-08
TXN00000035,8341,75,25.07,BRL,approved,2025-10-03 13:44:48+00:00,bank_transfer,PIX,BR,00,Transaction approved,1.08,0.27,24.8,desktop,163.254.130.255,Opera/8.23.(Windows NT 10.0; sk-SK) Presto/2.9.166 Version/10.00,1,2868,,1,other,False,2025-10-04
